# energy dos(up) dos(down)
-2.052340000000000231e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.051010000000000133e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.049680000000000035e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.048360000000000269e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.047030000000000172e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.045700000000000074e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.044369999999999976e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.043040000000000234e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.041710000000000136e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.040390000000000015e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.039060000000000272e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.037730000000000175e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.036400000000000077e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.035069999999999979e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.033740000000000236e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.032420000000000115e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.031090000000000018e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.029760000000000275e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.028430000000000177e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.027100000000000080e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.025769999999999982e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.024450000000000216e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.023120000000000118e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.021790000000000020e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.020460000000000278e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.019130000000000180e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.017800000000000082e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.016469999999999985e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.015150000000000219e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.013820000000000121e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.012490000000000023e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.011160000000000281e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.009830000000000183e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.008500000000000085e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.007179999999999964e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.005850000000000222e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.004520000000000124e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.003190000000000026e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.001860000000000284e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.000530000000000186e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.999210000000000065e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.997879999999999967e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.996550000000000225e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.995220000000000127e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.993890000000000029e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.992560000000000286e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.991240000000000165e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.989910000000000068e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.988579999999999970e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.987250000000000227e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.985920000000000130e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.984590000000000032e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.983270000000000266e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.981940000000000168e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.980610000000000070e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.979279999999999973e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.977950000000000230e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.976620000000000132e+01 0.000000000000000000e+00 -0.000000000000000000e+00
