# energy dos(up) dos(down)
-2.331319999999999837e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.330079999999999885e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.328839999999999932e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.327599999999999980e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.326360000000000028e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.325120000000000076e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.323879999999999768e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.322639999999999816e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.321389999999999887e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.320149999999999935e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.318909999999999982e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.317670000000000030e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.316430000000000078e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.315189999999999770e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.313949999999999818e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.312709999999999866e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.311459999999999937e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.310219999999999985e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.308980000000000032e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.307740000000000080e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.306499999999999773e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.305259999999999820e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.304019999999999868e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.302779999999999916e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.301529999999999987e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.300290000000000035e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.299050000000000082e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.297809999999999775e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.296569999999999823e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.295329999999999870e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.294089999999999918e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-2.292849999999999966e+01 0.000000000000000000e+00 -0.000000000000000000e+00
