# energy dos(up) dos(down)
-5.350719999999999743e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.346710000000000207e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.342709999999999582e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.338700000000000045e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.334689999999999088e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.330689999999999884e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.326680000000000348e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.322679999999999723e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.318670000000000186e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.314669999999999561e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.310660000000000025e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.306659999999999400e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.302649999999999864e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.298649999999999238e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.294639999999999702e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.290639999999999077e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.286629999999999541e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.282620000000000005e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.278619999999999379e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.274609999999999843e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.270609999999999218e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.266599999999999682e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.262599999999999056e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.258589999999999520e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.254590000000000316e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.250579999999999359e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.246580000000000155e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.242569999999999197e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.238569999999999993e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.234560000000000457e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.230549999999999500e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.226550000000000296e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.222539999999999338e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.218540000000000134e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.214529999999999177e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.210529999999999973e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.206520000000000437e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.202519999999999811e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.198510000000000275e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.194509999999999650e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.190500000000000114e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.186499999999999488e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.182489999999999952e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.178489999999999327e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.174479999999999791e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.170470000000000255e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.166469999999999629e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.162460000000000093e+01 0.000000000000000000e+00 -0.000000000000000000e+00
