# energy dos(up) dos(down)
-5.438329999999999842e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.434509999999999508e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.430679999999999552e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.426849999999999596e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.423019999999999641e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.419189999999999685e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.415359999999999729e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.411529999999999774e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.407709999999999440e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.403879999999999484e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.400049999999999528e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.396219999999999573e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.392389999999999617e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.388559999999999661e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.384729999999999706e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.380909999999999371e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.377079999999999416e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.373249999999999460e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.369419999999999504e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.365589999999999549e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.361759999999999593e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.357929999999999637e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.354109999999999303e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.350279999999999347e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.346449999999999392e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.342619999999999436e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.338789999999999480e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.334959999999999525e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.331129999999999569e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.327309999999999235e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.323479999999999279e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.319649999999999324e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.315819999999999368e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.311989999999999412e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.308159999999999457e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.304329999999999501e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.300499999999999545e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.296679999999999211e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.292849999999999255e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.289019999999999300e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.285189999999999344e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.281359999999999388e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.277529999999999433e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.273699999999999477e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.269879999999999853e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.266049999999999187e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.262219999999999231e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.258389999999999276e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.254559999999999320e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.250729999999999364e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.246899999999999409e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.243079999999999785e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.239249999999999829e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.235419999999999874e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.231589999999999208e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.227759999999999252e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.223929999999999296e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.220099999999999341e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.216279999999999717e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.212449999999999761e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.208619999999999806e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.204789999999999850e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.200959999999999184e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.197129999999999228e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.193299999999999272e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.189479999999999649e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.185649999999999693e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.181819999999999737e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.177989999999999782e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.174159999999999826e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.170329999999999870e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.166499999999999204e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.162679999999999580e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.158849999999999625e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.155019999999999669e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.151189999999999714e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.147359999999999758e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.143529999999999802e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.139699999999999847e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.135879999999999512e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.132049999999999557e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.128219999999999601e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.124389999999999645e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.120559999999999690e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.116729999999999734e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.112899999999999778e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.109079999999999444e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.105249999999999488e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.101419999999999533e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.097589999999999577e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.093759999999999621e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.089929999999999666e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.086099999999999710e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.082279999999999376e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.078449999999999420e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.074619999999999465e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.070789999999999509e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.066959999999999553e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.063129999999999598e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.059299999999999642e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.055479999999999308e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.051649999999999352e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.047819999999999396e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.043989999999999441e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.040159999999999485e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.036329999999999529e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.032499999999999574e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.028679999999999239e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.024849999999999284e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.021019999999999328e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.017189999999999372e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.013359999999999417e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.009529999999999461e+01 0.000000000000000000e+00 -0.000000000000000000e+00
