# energy dos(up) dos(down)
-5.356479999999999109e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.352899999999999636e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.349320000000000164e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.345739999999999270e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.342159999999999798e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.338580000000000325e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.334999999999999432e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.331419999999999959e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.327839999999999065e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.324259999999999593e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.320680000000000121e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.317099999999999227e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.313519999999999754e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.309940000000000282e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.306359999999999388e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.302779999999999916e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.299200000000000443e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.295619999999999550e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.292040000000000077e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.288459999999999184e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.284879999999999711e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.281300000000000239e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.277719999999999345e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.274139999999999873e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.270560000000000400e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.266979999999999507e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.263400000000000034e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.259819999999999141e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.256239999999999668e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.252660000000000196e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.249079999999999302e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.245499999999999829e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.241920000000000357e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.238339999999999463e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.234759999999999991e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.231179999999999097e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.227599999999999625e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.224020000000000152e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.220439999999999259e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.216859999999999786e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.213280000000000314e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.209699999999999420e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.206119999999999948e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.202539999999999054e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.198959999999999582e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.195380000000000109e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.191799999999999216e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.188219999999999743e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.184640000000000271e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.181059999999999377e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.177479999999999905e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.173900000000000432e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.170319999999999538e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.166740000000000066e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.163159999999999172e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.159579999999999700e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.156000000000000227e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.152419999999999334e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.148839999999999861e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.145260000000000389e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.141679999999999495e+01 0.000000000000000000e+00 -0.000000000000000000e+00
